,depth_class,AI,MAP,MAT,PS_Bio15,TS_Bio4,TAR_Bio7,MaxTWM_Bio5,MinTCM_Bio6,MMTD_Bio2,PWM_Bio13,PDM_Bio14,Elevation,Slope,Mean_pH,Moisture,CEC,Bulk.Density,RootDepth,GPP,Sand.content,Clay.content,Silt.content,Bedrock,Shannon_EVI,LAI,AbovegroundBiomass,BelowgroundBiomass,CUE
639,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,27.48,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.573437776
640,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,27.95,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.56168242
641,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,28.67,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.577697536
642,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,27.58,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.567245558
643,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,27.47,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.529694225
644,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,25.35,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.567239977
645,0-30,0.69,700,2.983333349,83.04998016,688.1474609,35.69999695,18.39999962,-17.29999924,15.16666698,121,3,3480.75,0.289730042,5.15,47.13,0.110149998,1.2,4.348821163,0,44.5,17,38,1216,28331,3.237200022,1.7,7.8,0.294517753
646,0-30,0.69,700,2.983333349,83.04998016,688.1474609,35.69999695,18.39999962,-17.29999924,15.16666698,121,3,3480.75,0.289730042,5.25,51.93,0.110149998,1.2,4.348821163,0,44.5,17,38,1216,28331,3.237200022,1.7,7.8,0.309499901
647,0-30,0.69,700,2.983333349,83.04998016,688.1474609,35.69999695,18.39999962,-17.29999924,15.16666698,121,3,3480.75,0.289730042,5.44,57.36,0.110149998,1.2,4.348821163,0,44.5,17,38,1216,28331,3.237200022,1.7,7.8,0.331641131
648,0-30,0.69,700,2.983333349,83.04998016,688.1474609,35.69999695,18.39999962,-17.29999924,15.16666698,121,3,3480.75,0.289730042,5.59,58.62,0.110149998,1.2,4.348821163,0,44.5,17,38,1216,28331,3.237200022,1.7,7.8,0.289781063
649,0-30,0.69,700,2.983333349,83.04998016,688.1474609,35.69999695,18.39999962,-17.29999924,15.16666698,121,3,3480.75,0.289730042,5.61,76.59,0.110149998,1.2,4.348821163,0,44.5,17,38,1216,28331,3.237200022,1.7,7.8,0.293373269
650,0-30,0.69,700,2.983333349,83.04998016,688.1474609,35.69999695,18.39999962,-17.29999924,15.16666698,121,3,3480.75,0.289730042,5.71,78.89,0.110149998,1.2,4.348821163,0,44.5,17,38,1216,28331,3.237200022,1.7,7.8,0.252800815
651,0-30,0.69,700,2.983333349,83.04998016,688.1474609,35.69999695,18.39999962,-17.29999924,15.16666698,121,3,3480.75,0.289730042,5.37,65,0.110149998,1.2,4.348821163,0,44.5,17,38,1216,28331,3.237200022,1.7,7.8,0.228297053
652,0-30,0.69,700,2.983333349,83.04998016,688.1474609,35.69999695,18.39999962,-17.29999924,15.16666698,121,3,3480.75,0.289730042,5.19,70.55,0.110149998,1.2,4.348821163,0,44.5,17,38,1216,28331,3.237200022,1.7,7.8,0.205058482
653,30-60,0.69,700,2.983333349,83.04998016,688.1474609,35.69999695,18.39999962,-17.29999924,15.16666698,121,3,3480.75,0.289730042,5.08,42.41,0.095199998,1.38,4.348821163,0,44,17,39,1216,28331,3.237200022,1.7,7.8,0.416141604
654,30-60,0.69,700,2.983333349,83.04998016,688.1474609,35.69999695,18.39999962,-17.29999924,15.16666698,121,3,3480.75,0.289730042,5.14,45.4,0.095199998,1.38,4.348821163,0,44,17,39,1216,28331,3.237200022,1.7,7.8,0.323530295
